"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 19 17:33:49 IST 2024","Mon Feb 19 17:33:52 IST 2024","2704","TestCases.Coupons","test_create_coupon","","","","test_create_coupons[fixed_cart]",""
"passed","Mon Feb 19 17:31:20 IST 2024","Mon Feb 19 17:31:22 IST 2024","2004","TestCases.Coupons","test_create_coupon","","","","test_create_coupons[fixed_product]",""
